0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,y
-144.76617,104.96239,-45.565258,30.177698,-43.142647,2.539503,-42.057404,-7.623296,-30.4049,-18.18804,-23.429228,-17.967638,-10.280527,-25.916075,1.8557997,-16.773567,-0.7278323,-11.397793,-2.4176555,-9.583351,-13.902682,-4.8246136,-12.128926,-1.9947289,-14.485822,-1.5674769,-9.361466,-3.1810565,-3.2187781,-2.9749136,0.2725101,-2.2904239,3.9089355,-5.4213886,4.215887,-2.179538,1.2101188,0.26450935,0.27582568,1.9323641,-0.6797649,2.0503252,-1.5202265,2.244616,-0.53263396,2.1610928,0
-121.276505,107.58779,-45.85843,22.44522,-41.751728,3.0601294,-38.939854,-6.3053927,-31.202475,-17.553009,-15.756518,-15.699898,-7.793042,-18.853209,1.002225,-13.135546,1.1438963,-12.767089,-5.026919,-10.026671,-11.52236,-4.102754,-9.918857,-2.7053785,-12.623117,1.0532328,-6.961205,-1.8366632,-2.422047,-0.83306366,0.9886473,-0.02236921,4.490688,-4.23051,4.0128846,-1.5277122,4.2153287,1.5346557,1.5265489,0.6852179,-1.7955236,1.7007577,-0.58271885,2.2378452,-1.7188537,2.3562582,0
-149.95761,124.18098,-36.99139,7.498317,-32.697304,-6.9992795,-30.958345,-8.804489,-27.479027,-18.685953,-15.845463,-12.80425,-9.663717,-14.212804,-2.2890654,-7.1505427,-1.2474688,-7.8128514,-4.4591575,-9.97509,-10.554224,-2.666883,-8.752403,-4.299403,-8.931603,-1.262582,-4.957568,-0.66389793,-2.4109209,-1.9163349,0.6510711,-0.6321878,3.7521691,-0.8206582,2.8653579,-2.367186,1.0375541,0.91059524,-1.116725,-0.9230843,0.9382738,2.236079,-0.7773186,2.2536626,0.37167877,2.7517426,0
-129.56023,120.06693,-45.09219,17.809553,-37.291798,-0.21100152,-34.740395,-13.719485,-28.811314,-19.53962,-15.228926,-15.768921,-9.324846,-17.047749,1.5566819,-9.751551,-0.22359835,-8.141873,-5.771056,-12.671616,-13.121466,-5.351737,-10.912756,-3.6490536,-7.827116,1.0656414,-4.657797,-1.53677,-4.9518523,-1.6300061,0.8138761,-4.3803277,1.0528593,-2.5323243,4.167407,-1.0148573,2.3370726,0.6606753,0.94868195,1.6726874,0.86319077,3.2593317,-1.121968,2.4764943,-1.0911509,2.0126824,0
-425.4352,85.79278,-19.79645,17.43979,-11.792817,-7.50276,-10.923851,-11.056159,-15.001835,-9.508023,-21.862862,-10.837432,-8.757743,-17.315722,-1.9462852,-5.1057706,-9.404847,-12.732219,-3.625888,-15.190525,-8.09007,-5.7394576,-11.6065855,-6.9814353,-10.347811,0.6524072,-8.988704,-2.7097402,-0.24593654,-4.8278933,-1.9821658,-3.279849,-2.220363,-3.8271189,0.69632137,-0.40401173,3.052764,-0.7943247,0.73167163,0.19681041,-0.69203967,1.9932251,-1.5328727,1.6737019,-1.374152,1.5527345,0
-198.37192,112.494514,-33.856102,20.311054,-43.08988,-5.932577,-30.681158,-2.5432243,-26.727968,-11.350386,-17.20748,-24.42256,-9.852967,-17.76604,-2.1874328,-24.040297,-5.7393947,-13.241547,-9.438985,-12.749833,-12.941611,-5.3121533,-15.202609,-3.026102,-10.026082,-4.5395064,-5.9150877,-2.0228965,-6.2104583,-3.7062778,0.6225648,-3.2067463,1.2289155,-2.5506022,-1.263889,-2.936023,4.5331583,-2.107178,-0.11930847,3.3013163,-1.2305942,0.52288675,2.189094,3.3063323,-2.5467625,1.0568234,1
-213.73291,114.696915,-33.59919,19.297531,-46.46776,-3.0372255,-36.67889,0.45034197,-31.409025,-8.75786,-17.724176,-23.1881,-3.3440495,-15.769044,3.5311575,-25.634777,-5.563611,-14.793294,-10.190354,-12.402805,-14.7864275,-6.796223,-16.877554,-5.267146,-10.842817,-2.5884933,-5.687417,-1.1116565,-4.3830624,-2.4564521,0.19545652,-0.6830428,0.32958943,-2.5596714,1.0493737,-5.0603905,3.8106794,-3.8254209,-0.4748071,2.0710118,0.45543376,2.581557,-0.56982315,2.0041466,-1.162926,2.7551093,1
-221.72238,120.7786,-37.525978,19.531132,-40.35858,-4.84401,-34.569252,-2.1300995,-26.423538,-11.169562,-18.107391,-21.992144,-7.774724,-16.615314,0.43642122,-26.729012,-7.655013,-13.482484,-10.367168,-13.06364,-12.121997,-4.6652603,-15.893653,-7.7390285,-10.633415,-3.7694864,-10.262701,-2.9103913,-6.261357,-3.4740472,-0.55676144,-2.5401897,0.7408719,-1.5035133,3.4537256,-4.0008683,6.0124407,-1.7281512,-0.053449344,2.360551,-1.9867435,3.213949,-1.7272946,0.1424772,-2.607401,0.8338911,1
-198.97739,122.6516,-33.87354,10.815718,-43.7325,-5.5043435,-32.665276,-2.7529607,-33.874657,-11.35438,-15.699644,-22.60204,-8.877503,-18.284367,1.5422409,-24.378239,-6.720572,-13.498587,-9.49495,-11.78351,-12.1782875,-5.7426047,-15.071957,-4.5679235,-10.526207,-4.176415,-8.221723,-1.1212896,-3.9705975,-1.0582719,1.813983,-1.5708007,1.8101699,-0.64653975,3.3429759,-2.699661,3.8019447,-3.4188926,-1.040053,0.19343701,-2.7453969,-0.3850243,-1.9200478,1.8682328,-3.0955849,1.1074712,1
-207.50668,119.19393,-25.638332,24.331703,-34.49283,-4.4799,-34.391323,-6.933052,-26.736115,-18.02201,-18.477592,-16.960714,-2.6700382,-18.48597,4.454663,-17.76095,-11.50828,-8.417518,-16.08645,-7.8291283,-7.553717,-10.792251,-10.716281,-7.4196362,-9.219208,-2.1775084,-8.466143,-1.0581759,-4.651067,-3.916574,-0.786395,-4.38197,-3.1876915,-3.9318767,0.881705,-4.627759,0.9412248,-2.593311,-0.40003976,0.3034439,-1.221051,1.0202937,-1.8195056,1.4947557,-2.1866646,1.5112171,1
